stop_id,stop_name,stop_lat,stop_lon,category,route_id
AG18,AMPANG,3.150318,101.760049,LRT,AG
AG17,CAHAYA,3.140575,101.756677,LRT,AG
AG16,CEMPAKA,3.138324,101.752979,LRT,AG
AG15,PANDAN INDAH,3.134581,101.746509,LRT,AG
AG14,PANDAN JAYA,3.130141,101.739122,LRT,AG
AG13,MALURI,3.12329,101.727283,LRT,AG
AG12,MIHARJA,3.120973,101.717922,LRT,AG
AG11,CHAN SOW LIN,3.128105,101.715637,LRT,AG
AG10,PUDU,3.134879,101.711957,LRT,AG
AG9,HANG TUAH,3.140012,101.705984,LRT,AG
AG8,PLAZA RAKYAT,3.144049,101.702105,LRT,AG
AG7,MASJID JAMEK,3.14927,101.696377,LRT,AG
AG6,BANDARAYA - UOB,3.155567,101.694485,LRT,AG
AG5,SULTAN ISMAIL,3.161245,101.694109,LRT,AG
AG4,PWTC,3.166333,101.693586,LRT,AG
AG3,TITIWANGSA,3.173497,101.695367,LRT,AG
AG2,SENTUL,3.178484,101.695542,LRT,AG
AG1,SENTUL TIMUR,3.185897,101.695217,LRT,AG
KJ37,PUTRA HEIGHTS,2.996227,101.575462,LRT,KJ
KJ36,SUBANG ALAM,3.009421,101.572281,LRT,KJ
KJ35,ALAM MEGAH,3.023151,101.572029,LRT,KJ
KJ34,USJ 21,3.029881,101.581711,LRT,KJ
KJ33,WAWASAN,3.035062,101.588348,LRT,KJ
KJ32,TAIPAN,3.04815,101.590233,LRT,KJ
KJ31,USJ 7,3.054956,101.592194,LRT,KJ
KJ30,SS 18,3.067182,101.585945,LRT,KJ
KJ29,SS 15,3.075972,101.585983,LRT,KJ
KJ28,SUBANG JAYA,3.08466,101.588127,LRT,KJ
KJ27,GLENMARIE,3.094732,101.590622,LRT,KJ
KJ26,ARA DAMANSARA,3.108643,101.586372,LRT,KJ
KJ25,LEMBAH SUBANG,3.112094,101.591034,LRT,KJ
KJ24,KELANA JAYA,3.112497,101.6043,LRT,KJ
KJ23,TAMAN BAHAGIA,3.11079,101.612856,LRT,KJ
KJ22,TAMAN PARAMOUNT,3.104716,101.623192,LRT,KJ
KJ21,ASIA JAYA,3.104343,101.637695,LRT,KJ
KJ20,TAMAN JAYA,3.104086,101.645248,LRT,KJ
KJ19,UNIVERSITI,3.114616,101.661639,LRT,KJ
KJ18,KERINCHI,3.115506,101.668572,LRT,KJ
KJ17,ABDULLAH HUKUM,3.118735,101.672897,LRT,KJ
KJ16,BANGSAR - BANK RAKYAT,3.127588,101.679062,LRT,KJ
KJ15,KL SENTRAL - REDONE,3.13442,101.68625,LRT,KJ
KJ14,PASAR SENI,3.142439,101.69531,LRT,KJ
KJ13,MASJID JAMEK,3.149714,101.696815,LRT,KJ
KJ12,DANG WANGI,3.156942,101.701975,LRT,KJ
KJ11,"KAMPUNG BARU - CBP COOPBANK PERTAMA",3.161386,101.706608,LRT,KJ
KJ10,KLCC,3.158935,101.713287,LRT,KJ
KJ9,AMPANG PARK,3.159894,101.719017,LRT,KJ
KJ8,DAMAI,3.164406,101.724489,LRT,KJ
KJ7,"DATO' KERAMAT",3.16509,101.73184,LRT,KJ
KJ6,JELATEK,3.167204,101.735344,LRT,KJ
KJ5,SETIAWANGSA,3.17576,101.73584,LRT,KJ
KJ4,SRI RAMPAI,3.199176,101.73747,LRT,KJ
KJ3,WANGSA MAJU,3.205751,101.731796,LRT,KJ
KJ2,TAMAN MELATI,3.219558,101.72197,LRT,KJ
KJ1,GOMBAK,3.231793,101.724427,LRT,KJ
SP31,PUTRA HEIGHTS,2.996016,101.575521,LRT,PH
SP29,PUCHONG PRIMA,2.999808,101.596692,LRT,PH
SP28,PUCHONG PERDANA,3.007913,101.605021,LRT,PH
SP27,BANDAR PUTERI,3.017111,101.612855,LRT,PH
SP26,TAMAN PERINDUSTRIAN PUCHONG,3.022814,101.613514,LRT,PH
SP25,PUSAT BANDAR PUCHONG,3.033194,101.616057,LRT,PH
SP24,IOI PUCHONG JAYA,3.048101,101.62095,LRT,PH
SP22,KINRARA,3.050506,101.644294,LRT,PH
SP21,ALAM SUTERA,3.0547,101.656468,LRT,PH
SP20,MUHIBBAH,3.062229,101.662552,LRT,PH
SP19,AWAN BESAR,3.062131,101.670555,LRT,PH
SP18,SRI PETALING,3.061445,101.687074,LRT,PH
SP17,BUKIT JALIL,3.058196,101.692125,LRT,PH
SP16,SUNGAI BESI,3.063842,101.708062,LRT,PH
SP15,BANDAR TASIK SELATAN,3.076058,101.711107,LRT,PH
SP14,BANDAR TUN RAZAK,3.089576,101.712466,LRT,PH
SP13,SALAK SELATAN,3.102201,101.706179,LRT,PH
SP12,CHERAS,3.112609,101.714178,LRT,PH
SP11,CHAN SOW LIN,3.128105,101.715637,LRT,PH
SP10,PUDU,3.134879,101.711957,LRT,PH
SP9,HANG TUAH,3.140012,101.705984,LRT,PH
SP8,PLAZA RAKYAT,3.144049,101.702105,LRT,PH
SP7,MASJID JAMEK,3.14927,101.696377,LRT,PH
SP6,BANDARAYA - UOB,3.155567,101.694485,LRT,PH
SP5,SULTAN ISMAIL,3.161245,101.694109,LRT,PH
SP4,PWTC,3.166333,101.693586,LRT,PH
SP3,TITIWANGSA,3.173497,101.695367,LRT,PH
SP2,SENTUL,3.178484,101.695542,LRT,PH
SP1,SENTUL TIMUR,3.185897,101.695217,LRT,PH
KG04,KWASA DAMANSARA,3.176146,101.572052,MRT,MRT
KG05,KWASA SENTRAL,3.170112,101.564651,MRT,MRT
KG06,KOTA DAMANSARA,3.150134,101.57869,MRT,MRT
KG07,SURIAN,3.14948,101.593925,MRT,MRT
KG08,MUTIARA DAMANSARA,3.155301,101.609077,MRT,MRT
KG09,BANDAR UTAMA,3.14671,101.618599,MRT,MRT
KG10,TAMAN TUN DR ISMAIL,3.13613,101.630539,MRT,MRT
KG12,PHILEO DAMANSARA,3.129864,101.642471,MRT,MRT
KG13,PUSAT BANDAR DAMANSARA,3.143444,101.662857,MRT,MRT
KG14,SEMANTAN,3.150977,101.665497,MRT,MRT
KG15,MUZIUM NEGARA,3.137317,101.687336,MRT,MRT
KG16,PASAR SENI,3.142293265,101.6955642,MRT,MRT
KG17,MERDEKA,3.141969,101.70205,MRT,MRT
KG18A,"BUKIT BINTANG",3.146503,101.710947,MRT,MRT
KG20,TUN RAZAK EXCHANGE,3.142403,101.720156,MRT,MRT
KG21,COCHRANE,3.132829,101.722962,MRT,MRT
KG22,MALURI,3.123623,101.727809,MRT,MRT
KG23,TAMAN PERTAMA,3.112547,101.729371,MRT,MRT
KG24,TAMAN MIDAH,3.104505,101.732186,MRT,MRT
KG25,TAMAN MUTIARA,3.090989,101.740453,MRT,MRT
KG26,TAMAN CONNAUGHT,3.079172,101.74522,MRT,MRT
KG27,TAMAN SUNTEX,3.071578,101.763552,MRT,MRT
KG28,SRI RAYA,3.062273,101.772899,MRT,MRT
KG29,BANDAR TUN HUSSEIN ONN,3.048223,101.775109,MRT,MRT
KG30,BATU 11 CHERAS,3.041339,101.773383,MRT,MRT
KG31,BUKIT DUKUNG,3.026413,101.771072,MRT,MRT
KG33,SUNGAI JERNIH,3.000948,101.783857,MRT,MRT
KG34,STADIUM KAJANG,2.994514,101.786338,MRT,MRT
KG35,KAJANG,2.982778,101.790278,MRT,MRT
PY01,KWASA DAMANSARA,3.1763324,101.5721456,MRT,PYL
PY03,KAMPUNG SELAMAT,3.197266,101.578499,MRT,PYL
PY04,SUNGAI BULOH,3.206429,101.581779,MRT,PYL
PY05,DAMANSARA DAMAI,3.199892,101.592623,MRT,PYL
PY06,SRI DAMANSARA BARAT,3.198197,101.608302,MRT,PYL
PY07,SRI DAMANSARA SENTRAL,3.198815,101.621396,MRT,PYL
PY08,SRI DAMANSARA TIMUR,3.207832,101.628716,MRT,PYL
PY09,METRO PRIMA,3.214438,101.639402,MRT,PYL
PY10,KEPONG BARU,3.211663,101.648193,MRT,PYL
PY11,JINJANG,3.209544,101.655829,MRT,PYL
PY12,SRI DELIMA,3.207108,101.665749,MRT,PYL
